TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
Blood Lad,,,Japonés (Sub esp),10,1,"Comedia, sobrenatural",
Blood The Last Vampire (Live Action),,,Japonés/Español,Pelicula,1,"Sobrenatural, acción, gore",
Blood+ (Japonés),,,Japonés (Sub esp),50,3,"Sobrenatural, acción, drama, romance",
Blue Dragon,,,Japonés (Sub esp),51,4,"Acción, aventura, sobrenatural, fantasia",
Boku wa Tomodachi ga Sukunai,,Primera Temporada,Japonés (Sub esp),12,1,"Romance, escolar, comedia, ecchi",
Boku wa Tomodachi ga Sukunai NEXT,,Segunda Temporada,Japonés (Sub esp),12,1,"Romance, escolar, comedia, ecchi",
Bokura ga ita,,,Japonés (Sub esp),26,2,"Roamnce, escolar, drama, slice of life",
Bokusastu Tenshi Dokuro-chan,Dokuro-chan,,Japonés (Sub esp),8,1,"Comedia, gore",
Boogiepop Phantom,,,Español/Japonés,12,1,"Misterio, suspenso, psicologico",
Broken Blade (2014),Break Balde,Remake,Japonés (Sub esp),24,2,"Acción, mechas, sci-fi",
Brothers Conflict,,,Japonés (Sub esp),12,1,"Romance, harem invertido, drama, comedia",
Brynhildr in the Darkness,,,Japonés (Sub esp),13,1,"Roamnce, sobrenatural, drama, harem",
BTOOOM!,,,Japonés (Sub esp),12,1,"Acción, aventura, ecchi",
BTX,,Primera Temporada,Español,25,2,"Acción, aventura, sci-fi",Del creador de Caballeros del Zodiaco
BTX Neo,,Segunda Temporada,Español,14,1,"Acción, aventura, sci-fi",Del creador de Caballeros del Zodiaco
Bubblegum Crisis Tokyo 2040,,,Español,26,2,"Acción, sci-fi, comedia",
BUDA - El Gran Viaje,,Pelicula 1,Esp/Japonés,Pelicula,1,"Aventura, fantasía, drama",
Burst Angel,,,Español,24 + OVA,2,"Aventura, accion, ecchi",
C - The Money of Soul and the Posibility of Control,,,Japonés (Sub esp),11,1,"Acción, sobrenatural, suspenso",
Canaan,,,Japonés (Sub esp),13,1,"Acción, suspenso, sobrenatural",
Candy Candy,,,Español,115 + OVA,6,"Drama, romance",
Captain Earth,,,Japonés (Sub esp),25,2,,
"Captain Harlock, Space Pirate Movie",,,Japonés (Sub esp),Pelicula,1,,
Carnival Phantasm,,,Japonés (Sub esp),12 + 3 omakes,1,,
Chaos;Head,,,Japonés (Sub esp),12,1,,
Chobits,,,Japonés (Sub esp),26,3,,
Chrome Shelled Regios,,,Japonés (Sub esp),24,2,,
Chrono Crusade,,,Japonés (Sub esp),24,2,"Acción, aventura, sobrenatural, romance",
"Chuunibyou demo Koi ga Shitai!, Takanashi Rikka Kai",,Pelicula,Japonés (Sub esp),Pelicula,1,,
CLAMP School Detectives,,,Español,26,2,,
CLANNAD,,,Japonés (Sub esp),23 + OVA,2,"Drama, romance, slice of life, harem",
CLANNAD After Story,,,Japonés (Sub esp),24 + OVA,2,"Drama, romance, slice of life, harem",
CLANNAD La Pelicula,,,Japonés (Sub esp),Pelicula,1,"Drama, romance, slice of life, harem",
Claymore,,,Japonés (Sub esp),26,2,,
Code Breaker,,,Japonés (Sub esp),13,1,"Acción, slice of life, sobrenatural",
Code Geass,,,Japonés (Sub esp),25,2,,
Code Geass R2,,,Japonés (Sub esp),25,2,,
Colorfull,,,Japonés (Sub esp),Pelicula,1,,
Coppelion,,,Japonés (Sub esp),13,1,,
Corpse Party,,Tortured souls + Missing Footage,Japonés (Sub esp),5,1,,
Cowboy Beebop,,Serie,Español/Inglés/Japonés,26,2,,
Cowboy Beebop Knockin'on Heaven's Door,,Pelicula,Japonés/Español,Pelicula,1,,
Cross Ange Tenshi to Ryu no Rondo,,,Japonés (Sub esp),25,1,,
CubeXCursedXCurious,C3,,Japonés (Sub esp),13,1,,
Cuentos de Terramar,Gedo Senki,,Español/Japonés,Pelicula,1,,
Cyborg 009,,,Español,50,4,"Sci-fi, accion, aventura",
D. Gray-man,,,Japonés (Sub esp),103,6,,
Da Capo,D.C.,Primera Temporada,Japonés (Sub esp),26,2,"Drama, romance, slice of life",
Da Capo II,D.C. II,Tercera Temporada,Japonés (Sub esp),13,1,"Drama, romance, slice of life",
Da Capo II Second Season,D.C. II S.S.,Cuarta Temporada,Japonés (Sub esp),13,1,"Drama, romance, slice of life",
Da Capo Second Season,D.C. S.S.,Segunda Temporada,Japonés (Sub esp),26,2,"Drama, romance, slice of life",
Daitoshokan no Hitsujikai,,,Japonés (Sub esp),12,1,,
Dakara Boku wa H ga Dekinai,,,Japonés (Sub esp),12,1,,
Dance in the Vampire Bund,,,Japonés (Sub esp),12 + Especial,1,,
Danganronpa The animation,,,Japonés (Sub esp),13,1,,
Danna ga nani wo Itteiru ka Wakaranai Ken,,,Japonés (Sub esp),13,1,,
Dantalian no Shoka,Biblioteca Mistica de Dantalian,,Japonés (Sub esp),13,1,,
Dante's Inferno,El Infierno de Dante,,Inglés/Español,Pelicula,1,,
Darker than Black,,Primera Temporada,Japonés (Sub esp),25 + OVA,2,,
Darker than Black Gemini of the Meteor,,Segunda Temporada,Japonés (Sub esp),12,1,,
Darker than Black Kuro no Keiyakusha: Gaiden,,Tercera Temporada,Japonés (Sub esp),12,1,,
Date A Live,,Primera Temporada,Japonés (Sub esp),12,1,,
Date A Live II,,Segunda Temporada,Japonés (Sub esp),10,1,,
Dead Space,,,Español,Pelicula,1,,
Deadman Wonderland,,,Japonés (Sub esp),12,1,,
Dear Boys,,,Español,26,2,"Deportes, slice of life",
DearS,,,Japonés (Sub esp),13,1,,
Death Note,,,Español/Japonés,37,3,,
Death Note R: Relight La Visión de un Dios,,Pelicula 1,Español/Japonés,Pelicula,1,,
Death Note: Live Action,,Peliculas con actores humanos.,Japonés (Sub esp),3 Peliculas,1,,
Death Parade,,OVA Original Death Billiard + Serie,Japonés (Sub esp),12 + Especial,1,,
Demashitta Power Puff Girls Z,Las chicas super poderosas Z,,Español,52,3,,
Denpa Teki na Kanojo,,,Japonés (Sub esp),2,1,,
Denpo Onna to Seishun Otoko,,,Japonés (Sub esp),12,1,,
Detroit Metal City,,,Japonés (Sub esp),12,1,,
Detroit Metal City Live Action,,,Japonés (Sub esp),Pelicula,1,,
Devil May Cry,,,Japones/Inglés,12,1,,
Devil Survivor 2,,Temporada Unica,Japonés (Sub esp),13,1,,
Devilman,,,Japonés (Sub esp),39,2,,
Devilman Live Action,,,Japonés (Sub esp),Pelicula,1,,
Devilman OVAs,,,Japonés (Sub esp),3,1,,
Devils and Realist,Makai Ouji - Devils and Realist,,Japonés (Sub esp),12,1,,
D-Fragments,,,Japonés (Sub esp),12,1,,
Diabolik Lovers,,,Japonés (Sub esp),14,1,,
Digimon,Digimon Adventures,Primera Temporada,Español,54,3,,
Digimon 02,,Segunda Temporada,Español,50 + Especial,3,,
Digimon Adventures Movies,,Primera Temporada Peliculas,Español y Japonés (Sub esp),2 Peliculas,1,,
Digimon Frontier,,Cuarta temporada,Español,50,4,,
Digimon Savers,,,Español,52,3,,
Digimon Tamers,,Tercera Temporada,Español,51,4,,
DN Angel,,,Japonés (Sub esp),26,2,,
Donten ni Warau,,,Japonés (Sub esp),12,1,,
Dragon Ball,,Primera Temporada,Español,153,5,,
Dragon Ball GT,,Tercera Temporada,Español,64,3,,
Dragon Ball Movies,,,Español,3 Peliculas,1,,
Dragon Ball Z,,Segunda Temporada,Español,291,14,,
Dragon Ball Z Episodio Bardock,,,Japonés (Sub esp),Especial,1,,
Dragon Ball Z Movies,,,Español,13 Peliculas + 2 Especiales,2,,
Dragon Crisis,,,Japonés (Sub esp),,0,,
Dragon Quest,,,Español,46,2,,
Dramatical Murder,,,Japonés (Sub esp),12,1,,
Durarara!,,,Japonés (Sub esp),24,2,,
Durarara!! X2,,Segunda Temporada,Japonés (Sub esp),12,1,,
El Castillo de Cagliostro,,GHIBLI,Español,1,1,,
El Castillo en el Cielo,,GHIBLI,Español/Japonés,Pelicula,1,,
El increible Castillo Vagabundo,Howl's Moving Castle,GHIBLI,Español/Japonés,Pelicula,1,,
El Increible Mago de OZ,The Wonderful Wizard of OZ,,Español,52,2,,
El increible Mago de Oz - La Pelicula,,Pelicula Resumen,Español,Pelicula,1,,
El Regreso de los Gatos,Haru en el reino de los gatos,GHIBLI,Español/Japonés,Pelicula,1,,
El Viaje de Chihiro,Spirt Away,GHIBLI,Español/Japonés,Pelicula,1,,
Elfen Lied,,,Japonés (Sub esp),13 + OVA,1,,
ENZAI - False Acusation,,,Japonés (Sub esp),2,1,,
Erementar Gerad,,,Japonés (Sub esp),26,2,,
Ergo Proxy,,,Japonés (Sub esp),23,2,,
Escaflowne La Pelicula,,,Japonés/Inglés,Pelicula,1,,
"Escaflowne, The Vision of",,,Español,26,2,,
Escha & Logy no Atelier - Tasogare no Sora no Rekinjutsushi,,,Japonés (Sub esp),13,1,,
Eureka Seven,,,Japonés (Sub esp),50 + especial,4,,
Eureka Seven  Astral Ocean,,,Japonés (Sub esp),24,2,,
"Eva, Pucci",Eva Petit,,Japonés (Sub esp),24,1,,
Evangelion Death and Rebirth,,,Japonés/Inglés,Pelicula,1,,
"Evangelion, Neon Genesis",,,Español,26,2,,
"Evangelion, Rebuild of",,,Japonés (Sub esp),3 Peliculas,2,,
"Evangelion, The End of",,,Español/Japonés,Pelicula,1,,
Eve no Jikan,Time of Eve,,Japonés (Sub esp),Pelicula,1,,
Excel Saga,,,Español,26,2,,
Expelled from Paradise,Rakuen Tsuihou,,Japonés (Sub esp),Pelicula,1,,
Eyeshield 21,,,Japonés (Sub esp),120,6,,
Fairy Tail,,,Japonés (Sub esp),175,9,,
Fairy Tail 2,,En emisión,Japonés (Sub esp),20/??,1,,
Fairy Tail Movie,,,Japonés (Sub esp),Pelicula,1,,
Fairy Tail OVAS,,,Japonés (Sub esp),4,1,,
Fantasista Doll,,,Japonés (Sub esp),12,1,,
Fantastic Children,,,Japonés (Sub esp),26,2,,
Fate Kaleid Liner,,,Japonés (Sub esp),10,1,,
Fate Stay Night,,Primera Temporada,Japonés (Sub esp),26,2,,
Fate Stay Night Unlimited Blade Works,,Primera Temporada Pelicula,Japonés (Sub esp),Pelicula + 2 Especiales,1,,
Fate Zero,,Segunda Temporada,Japonés (Sub esp),25,2,,
Fate/Stay Night Unlimited Balde Works TV,,,Japonés (Sub esp),25,2,,
Final Fantasy Spirit Within,Final Fantasy: El espiritu en nosotros,,Españo/Japonés/Inglés,Pelicula,1,,
Final Fantasy Unlimited,,,Japonés (Sub esp),25,2,,
Final Fantasy VII - Advent Child,,,Japones/Ingles,Pelicula,1,,
FLCL,,,Japonés (Sub esp),6,1,,
Food Wars,Shokugeki no Soma,,Japonés (Sub esp),24,2,"Comedia, cocina, slice of life",
Fractale,,,Japonés (Sub esp),11,1,,
Free!,,,Japonés (Sub esp),12 + Short movie,1,,
Free! Eternal Summer,,Segunda Temporada,Japonés (Sub esp),13,1,,
Freezing,,Primera Temporada,Japonés (Sub esp),12 + 6 omakes,1,,
Freezing Vibration,,Segunda Temporada,Japonés (Sub esp),12,1,,
Fruits Basket,,,Japonés (Sub esp),26,2,,
Full Metal Panic,,,Japonés (Sub esp),24,2,,
Full Metal Panic TSR,,,Japonés (Sub esp),13 + Especial + OVA,1,,
Full Metal Panic! Fumoffu,,,Japonés (Sub esp),12,1,,
Fullmetal Alchemist,,,Español/Inglés,51 + 5 OVA,4,,
Fullmetal Alchemist Shintetsu,Fullmetal Alchemist Brotherhood,,Japonés (Sub esp),64,5,,
Fullmetal Alchemist Shintetsu OVAS,,,Japonés (Sub esp),4 + 4 especiales,1,,
Fullmetal Alchemist The Movie - Conquerors of Shambala,,,Español/Japonés,Pelicula,1,,
Fullmetal Alchemist The Movie - Sacred Star of Milos,,,Japonés (Sub esp),Pelicula,1,,
Fushigi Yuugi,,,Japonés (Sub esp),52 + 3 OVA,3,,
Ga Rei Zero,,,Japonés (Sub esp),12,1,"Acción, sobrenatural, suspenso",
Gakuen Heaven,,,Japonés (Sub esp),13,1,"Shonen-ai, comedia",
Galilei Donna,,,Japonés (Sub esp),11,1,"Aventura, acción, sci-fi",
GANTZ,,,Japonés (Sub esp),26,2,"Acción, horror, suspenso, gore",
GANTZ - Live Action,,,Japonés (Sub esp),2 Peliculas,1,"Acción, horror, suspenso, gore",
Garden of the Sinners,Kara no Kyokai,,Japonés (Sub esp),7 Peliculas,2,"Acción, misterio, sobrenatural",
Garo,,,Japonés (Sub esp),13,1,,
Gatchaman Crowds,,,Japonés (Sub esp),12,1,"Acción, aventura, sci-fi, seinen",
Gekkan Shoujo Nozaki-kun,,,Japonés (Sub esp),12,1,"Comedia, romance, slice of life, escolar",
Gen'ei no Kakeru,,,Japonés (Sub esp),12,1,"Magia, drama, suspenso",
Genesis Climber Mospeada,,,Japonés (Sub esp),25,3,"Acción, mecha, aventura, romance",
Genocyber,,,Japonés (Sub esp),5,1,"Acción, sci-fi, horror, gore",
Genshiken,,Primera Temporada,Japonés (Sub esp),12,1,"Comedia, parodia, escolar",
Genshiken 2,,Segunda Temporada,Japonés (Sub esp),12,1,"Comedia, parodia, escolar",
Genshiken Nidaime,,Tercera Temporada,Japonés (Sub esp),13,1,"Comedia, parodia, escolar",
Get Backers,,,Japonés (Sub esp),49,4,"Aventura, acción, sobrenatural",
Ghost in the Shell,GITS,Primera Temporada,Japonés (Sub esp),26,2,"Acción, sci-fi, cyber punk",
Ghost in the Shell 2,"Pelicula - Innocence, OVA - Solid State Society",Segunda Pelicula,Español,Pelicula + OVA,1,"Acción, sci-fi, cyber punk",
Ghost in the Shell 2nd Stand Alone Complex,GITS 2nd SAC,Segunda temporada,Japonés (Sub esp),26,2,"Acción, sci-fi, cyber punk",
Ghost in the shell Arise,,Precuela,Japonés (Sub esp),4,1,"Acción, sci-fi, cyber punk",
Ghost in the Shell the Movie 2.0,,Primer pelicula,Inglés/Japones/Español/Frances,Pelicula,1,"Acción, sci-fi, cyber punk",
Gilgamesh,,,Japonés (Sub esp),26,2,"Horror, acción, drama, sci-fi",
Gintama,,Primera Temporada,Japonés (Sub Esp),201,10,"Aventura, comedia, drama, sci-fi, acción, fantasía",
Girlfriend Kari,,,Japonés (Sub esp),12,1,"Romance, slice of life, moe",
GJ Bu,,,Japonés (Sub esp),12,1,"Comedia, romance, slice of life ,escolar",
Godzilla Collection,,,Japonés (Sub esp) e Inglés (Sub esp),27 Peliculas,6,"Acción, sobrenatural",
Golden Time,,,Japonés (Sub esp),24,2,"Romance, comedia, drama",
Goshuushou-sama Ninomiya-kun,,,Japonés (Sub esp),12,1,"Ecchi, comedia, romance",
Gosick,,,Japonés (Sub esp),24,2,"Misterio, fantasía",
Gravitation,,,Japonés (Sub esp),13,1,"Shonena-ai, drama, comedia",
Grisaia no Kajitsu,Le Fruit de Grisaia,,Japonés (Sub esp),13,1,"Acción, suspenso, harem, ecchi",
Grisaia no Meikyuu,Le Labyrinthe de la Grisaia,Segunda Temporada,Japonés (Sub esp),Pelicula,1,"Acción, suspenso, harem, ecchi",
Grisaia no Rakuen,Le Eden de la Grisaia,Tercera Temporada,Japonés (Sub esp),10,1,"Acción, suspenso, harem, ecchi",
GTO,Great Teacher Onizuka,,Japonés (Sub esp),43,2,"Comedia, escolar, slice of life",
Gugure! Kokkuri-san!,,,Japonés (Sub esp),12,1,"Comedia, romance, fantasía",
Guilty Crown,,,Japonés (Sub esp),22 + Especial,2,"Acción, sci-fi, romance",
Gunbuster,,,Japonés (Sub esp),6,1,"Mecha, sci-fi, soap opera",
Gunbuster 2,Diebuster,,Japonés (Sub esp),6,1,"Acción, mecha, comedia",
Gundam  Wing,,,Español,49 + 3 OVA,3,"Mecha, acción",
Gundam SEED,,,Japonés (Sub esp),50 + OVA,4,"Acción, mecha, drama",
